Country,1950,1960,1970,1980,1990,2002,2010
Austria,6935,7047,7467,7549,7718,8170,8278
Belgium,8639,9119,9638,9847,9969,10275,10340
Switzerland,4694,5362,6267,6385,6838,7302,7385
Cyprus,494,573,615,681,767,801,852
Germany,68375,72481,77783,78298,79380,82351,82283
Denmark,4271,4581,4929,5123,5141,5369,5474
Spain,28063,30641,33876,37488,39351,40153,40549
France,41829,45670,50787,53870,56735,59925,61638
Greece,7566,8327,8793,9643,10158,10645,10758
Italy,47105,50198,53661,56451,56743,57927,58091
Ireland,2963,2832,2950,3401,3508,3883,4161
Iceland,143,176,204,228,255,279,289
Malta,312,329,326,364,359,397,420
Norway,3265,3581,3877,4086,4242,4525,4677
Netherlands,10114,11486,13032,14144,14952,16068,16617
Portugal,8443,9037,9044,9778,9923,10084,10004
Sweden,7014,7480,8043,8310,8559,8877,8882
Finland,4009,4430,4606,4780,4986,5184,5228
Turkey,21122,28217,35758,45121,56085,67309,73322
United Kingdom,50127,52371,55632,56314,57493,59912,61285
Albania,1227,1623,2157,2671,3258,3545,3827
Andorra,6,8,20,34,53,68,74
Armenia,1355,1869,2520,3115,3366,3330,3365
Azerbaijan,2885,3882,51169,6173,7200,7798,8221
Bulgaria,7251,7867,8490,8844,8894,7621,7006
Croatia,3827,4036,4205,4383,4508,4391,4505
Estonia,1096,1211,1363,1482,1573,1416,1372
Georgia,3516,4147,4694,5048,5457,4961,4815
Hungary,9338,9983,10337,10711,10075,9831,9276
Latvia,1936,2115,2361,2525,2672,2367,2252
Liechtenstein,14,16,21,25,29,33,35
Lithuania,2553,2765,3138,3436,3702,3601,3560
Moldova,2336,2999,3595,148082,144979,142328,135952
Poland,24824,29590,32526,35578,38119,38625,38691
Romania,16311,18403,20253,22130,22866,22318,21930
Russia,101937,119632,130245,139045,148082,144979,142328
San Marino,13,15,19,21,23,28,31
Slovakia,3463,3994,4524,4966,5263,5422,5475
Slovenia,1468,1558,1676,1833,1896,1933,1947
Ukraine,36775,42644,47236,50047,51658,48396,46193
Monaco,18,21,24,27,30,32,33
Serbia,6017,6579,7193,7777,7987,7904,7653
Montenegro,402,473,530,589,621,632,631
Macedonia,1225,1366,1574,1792,1893,2055,2115
Bosnia Herzegovina,2662,3240,3703,4092,4424,3964,4103
Luxemburg,296,314,339,364,382,449,493
Czech Republic,8925,9660,9795,10289,10310,10257,10157
